,school-name,matched_again,match_from,school_address
108,Hult International Business School,"(Hult International Business School, 33, Commercial Road, Wapping, London Borough of Tower Hamlets, London, Greater London, England, E1 1LD, United Kingdom, (51.5152219, -0.0676809282655))",Nominatum,"Hult International Business School, 33, Commercial Road, Wapping, London Borough of Tower Hamlets, London, Greater London, England, E1 1LD, United Kingdom"
109,Renmin University of China,"(中国人民大学, 人民大学北路, 稻香园南社区, 海淀区, 北京市, 100872, 中国, (39.96976785, 116.307086481))",Nominatum,"中国人民大学, 人民大学北路, 稻香园南社区, 海淀区, 北京市, 100872, 中国"
110,Azusa Pacific University,"Azusa, CA",Collegelist,
111,University of Oxford,"(University of Oxford Botanic Garden, Rose Lane, Grandpont, Oxford, Oxon, South East, England, OX1 4AZ, United Kingdom, (51.75069, -1.24748139941))",Nominatum,"University of Oxford Botanic Garden, Rose Lane, Grandpont, Oxford, Oxon, South East, England, OX1 4AZ, United Kingdom"
112,Colby College,"Waterville, ME",Collegelist,
113,Université Paris-Sorbonne,,,
114,Messalonskee High School,"131 MESSALONSKEE HIGH DR OAKLAND, ME 04963",Collegelist,
115,University of Maine,"Orono, ME",Collegelist,
116,Arizona State University,"Tempe, AZ",Collegelist,
117,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
118,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
119,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
120,Harvard University,"Cambridge, MA",Collegelist,
121,University of Missouri-Columbia,"Columbia, MO",Collegelist,
122,Santa Clara University,"Santa Clara, CA",Collegelist,
123,"Syracuse University- Florence, Italy",,,
124,University of the District of Columbia,"Washington, DC",Collegelist,
125,USAF Air University,,,
126,Northern Virginia Community College,"(Bookstore Parking, Campus Lane East, Alexandria, Alexandria City, Virginia, 22311, United States of America, (38.84085425, -77.1128002723))",Nominatum,"Bookstore Parking, Campus Lane East, Alexandria, Alexandria City, Virginia, 22311, United States of America"
127,Sonoma State University,"Rohnert Park, CA",Collegelist,
128,Carondelet High School,"(Carondelet High School, Treat Boulevard, Concord, Contra Costa County, California, 94521, United States of America, (37.9332566, -122.0335732))",Nominatum,"Carondelet High School, Treat Boulevard, Concord, Contra Costa County, California, 94521, United States of America"
129,,,,
130,Marymount University,"Arlington, VA",Collegelist,
131,University of Redlands,"Redlands, CA",Collegelist,
132,University of Redlands,"Redlands, CA",Collegelist,
133,"IES Abroad, Barcelona, Spain","East Lansing, MI",Manual,
134,Texas Christian University,"Fort Worth, TX",Collegelist,
135,Champlain College,"Burlington, VT",Collegelist,
136,"University of California, Los Angeles","Los Angeles, CA",Collegelist,
137,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
138,Stanford University,"Bowling Green, KY",Collegelist,
139,Menlo School," Atherton, CA",Collegelist,
140,University of Colorado at Boulder,"Boulder, CO",Collegelist,
141,West Chester University of Pennsylvania,"West Chester, PA",Collegelist,
142,Art Institute of Philadelphia,"(The Art Institute of Philadelphia, 1618-1622, Chestnut Street, Rittenhouse Square, Philadelphia, Philadelphia County, penna, 19103, United States of America, (39.95110945, -75.1681306123))",Nominatum,"The Art Institute of Philadelphia, 1618-1622, Chestnut Street, Rittenhouse Square, Philadelphia, Philadelphia County, penna, 19103, United States of America"
143,Northeastern University,"New York, NY",Collegelist,
144,Northeastern University,"New York, NY",Collegelist,
145,Syracuse University,"Syracuse, NY",Collegelist,
146,Syracuse University,"Syracuse, NY",Collegelist,
147,"University of California, Berkeley","Berkeley, CA",Collegelist,
148,Mt. San Antonio College,"(Mount San Antonio College, Walnut Drive, Walnut, Los Angeles County, California, 91789, United States of America, (34.0473765, -117.8441114))",Nominatum,"Mount San Antonio College, Walnut Drive, Walnut, Los Angeles County, California, 91789, United States of America"
149,University of Nevada-Reno,"Reno, NV",Collegelist,
150,Universidad Rey Juan Carlos,"(Universidad Rey Juan Carlos, Avenida Alcalde de Móstoles, Iviasa, Peñaca, Móstoles, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28933, España, (40.3348673, -3.8721423))",Nominatum,"Universidad Rey Juan Carlos, Avenida Alcalde de Móstoles, Iviasa, Peñaca, Móstoles, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28933, España"
151,,,,
152,Smith College,"College Park, MD",Collegelist,
153,University of Pennsylvania,"Philadelphia, PA",Collegelist,
154,Westford Academy,"Bowling Green, KY",Collegelist,
155,Johnson County Community College,"(Johnson County Community College, College Boulevard, Overland Park, Johnson County, Kansas, 66215, United States of America, (38.92402175, -94.730648489))",Nominatum,"Johnson County Community College, College Boulevard, Overland Park, Johnson County, Kansas, 66215, United States of America"
156,Mill Valley High School,"5900 MONTICELLO RD SHAWNEE, KS 66226",Collegelist,
157,Boston College,"Chestnut Hill, MA",Collegelist,
158,"Carnegie Mellon University, H. John Heinz III College",,,
159,"Monterrey Institute of Technology (ITESM), Monterrey, NL, Mexico","Monterrey, Mexico",Manual,
160,"Monterrey Institute of Technology (ITESM), Monterrey, NL, Mexico","Monterrey, Mexico",Manual,
161,City University London,"(Myddleton Street Building, City University London, Myddelton Street, Finsbury, London Borough of Islington, London, Greater London, England, EC1R 1UW, United Kingdom, (51.5268669, -0.1073742))",Nominatum,"Myddleton Street Building, City University London, Myddelton Street, Finsbury, London Borough of Islington, London, Greater London, England, EC1R 1UW, United Kingdom"
162,DePaul University,"Durham, NH",Collegelist,
163,The University of Texas at Austin,"Austin, TX",Collegelist,
164,IES Buenos Aires,"(CABA, Comuna 6, CABA, Argentina, (-34.612869, -58.4459789))",Nominatum,"CABA, Comuna 6, CABA, Argentina"
165,Saint Mary's College of California,"(St. Mary's College of California, De La Salle Drive, Moraga, Contra Costa County, California, 94575, United States of America, (37.84110195, -122.10976445))",Nominatum,"St. Mary's College of California, De La Salle Drive, Moraga, Contra Costa County, California, 94575, United States of America"
166,San Leandro High School,"2200 BANCROFT AVE SAN LEANDRO, CA 94577",Collegelist,
167,Tulane University,"New Orleans, LA",Collegelist,
168,Choate Rosemary Hall," Wallingford, CT",Collegelist,
169,Bentley University,"Waltham, MA",Collegelist,
